Country,Country_Code,Region,Year,Month,Flight_Capacity,Passengers,Load_Factor,Average_Ticket_Price,Revenue,Tourism_Maturity
Romania,ROM,Eastern Europe,2018,12,64364,50766,0.789,906.05,45996375.74,emerging
Romania,ROM,Eastern Europe,2019,1,81217,60165,0.741,620.41,37326690.54,emerging
Romania,ROM,Eastern Europe,2019,2,58520,54634,0.934,610.08,33330857.46,emerging
Romania,ROM,Eastern Europe,2019,3,83529,53781,0.644,729.33,39223992.15,emerging
Romania,ROM,Eastern Europe,2019,4,125549,81019,0.645,606.15,49109517.37,emerging
Romania,ROM,Eastern Europe,2019,5,188747,131389,0.696,766.12,100660244.66,emerging
Romania,ROM,Eastern Europe,2019,6,185003,123434,0.667,1080.47,133366285.58,emerging
Romania,ROM,Eastern Europe,2019,7,237232,166319,0.701,931.68,154956675.58,emerging
Romania,ROM,Eastern Europe,2019,8,246083,162568,0.661,946.9,153935642.2,emerging
Romania,ROM,Eastern Europe,2019,9,154117,137059,0.889,631.55,86559740.41,emerging
Romania,ROM,Eastern Europe,2019,10,127529,102401,0.803,708.05,72504853.52,emerging
Romania,ROM,Eastern Europe,2019,11,110891,80032,0.722,730.58,58470032.94,emerging
Romania,ROM,Eastern Europe,2019,12,101893,64742,0.635,1076.97,69724938.93,emerging
Romania,ROM,Eastern Europe,2020,1,30430,24674,0.811,756.87,18675088.51,emerging
Romania,ROM,Eastern Europe,2020,2,18298,11014,0.602,742.83,8181522.2,emerging
Romania,ROM,Eastern Europe,2020,3,29426,22823,0.776,603.03,13762866.66,emerging
Romania,ROM,Eastern Europe,2020,4,35604,29919,0.84,650.21,19453645.07,emerging
Romania,ROM,Eastern Europe,2020,5,46519,41320,0.888,631.57,26096580.85,emerging
Romania,ROM,Eastern Europe,2020,6,58693,51189,0.872,1040.23,53248563.51,emerging
Romania,ROM,Eastern Europe,2020,7,78618,57720,0.734,954.1,55070684.02,emerging
Romania,ROM,Eastern Europe,2020,8,71329,51506,0.722,1035.74,53346885.1,emerging
Romania,ROM,Eastern Europe,2020,9,45175,42401,0.939,723.59,30680810.5,emerging
Romania,ROM,Eastern Europe,2020,10,44157,27151,0.615,709.37,19260204.41,emerging
Romania,ROM,Eastern Europe,2020,11,31253,29292,0.937,613.28,17964144.07,emerging
Romania,ROM,Eastern Europe,2020,12,18270,16813,0.92,912.42,15340546.54,emerging
Romania,ROM,Eastern Europe,2021,1,56952,35380,0.621,719.72,25463792.98,emerging
Romania,ROM,Eastern Europe,2021,2,40084,33809,0.843,671.79,22712617.08,emerging
Romania,ROM,Eastern Europe,2021,3,90670,55573,0.613,621.33,34529185.24,emerging
Romania,ROM,Eastern Europe,2021,4,64112,58195,0.908,684.72,39847236.3,emerging
Romania,ROM,Eastern Europe,2021,5,87001,56203,0.646,662.7,37245546.79,emerging
Romania,ROM,Eastern Europe,2021,6,97233,69085,0.711,1056.21,72968468.72,emerging
Romania,ROM,Eastern Europe,2021,7,103742,85726,0.826,1070.44,91764372.17,emerging
Romania,ROM,Eastern Europe,2021,8,172844,148830,0.861,919.09,136787806.03,emerging
Romania,ROM,Eastern Europe,2021,9,97417,63271,0.649,584.58,36987133.97,emerging
Romania,ROM,Eastern Europe,2021,10,87920,78942,0.898,574.12,45322347.32,emerging
Romania,ROM,Eastern Europe,2021,11,48131,38406,0.798,605.82,23267295.39,emerging
Romania,ROM,Eastern Europe,2021,12,54863,37037,0.675,872.61,32319040.01,emerging
Romania,ROM,Eastern Europe,2022,1,72393,65281,0.902,703.88,45949703.97,emerging
Romania,ROM,Eastern Europe,2022,2,66227,45909,0.693,746.06,34250662.72,emerging
Romania,ROM,Eastern Europe,2022,3,86139,77383,0.898,658.95,50991285.95,emerging
Romania,ROM,Eastern Europe,2022,4,88182,60941,0.691,679.21,41391752.19,emerging
Romania,ROM,Eastern Europe,2022,5,110238,102027,0.926,617.01,62951407.28,emerging
Romania,ROM,Eastern Europe,2022,6,166231,113312,0.682,840.84,95277514.65,emerging
Romania,ROM,Eastern Europe,2022,7,248400,200382,0.807,1066.7,213747573.83,emerging
Romania,ROM,Eastern Europe,2022,8,168972,156304,0.925,932.65,145776666.64,emerging
Romania,ROM,Eastern Europe,2022,9,151901,96836,0.637,716.22,69356201.62,emerging
Romania,ROM,Eastern Europe,2022,10,119010,86325,0.725,576.62,49776713.14,emerging
Romania,ROM,Eastern Europe,2022,11,93654,57059,0.609,665.27,37959597.61,emerging
Romania,ROM,Eastern Europe,2022,12,70065,60002,0.856,1117.57,67056657.0,emerging
Croatia,CRO,Eastern Europe,2018,1,18733,13353,0.713,766.99,10241645.02,emerging
Croatia,CRO,Eastern Europe,2018,2,15789,14622,0.926,928.45,13575833.28,emerging
Croatia,CRO,Eastern Europe,2018,3,28901,26235,0.908,932.7,24469364.31,emerging
Croatia,CRO,Eastern Europe,2018,4,27027,25186,0.932,874.06,22014077.44,emerging
Croatia,CRO,Eastern Europe,2018,5,30063,18516,0.616,734.69,13603583.17,emerging
Croatia,CRO,Eastern Europe,2018,6,32873,26991,0.821,1096.28,29589723.91,emerging
Croatia,CRO,Eastern Europe,2018,7,55698,36173,0.649,1299.43,47004139.37,emerging
Croatia,CRO,Eastern Europe,2018,8,61190,57543,0.94,1071.1,61634022.58,emerging
Croatia,CRO,Eastern Europe,2018,9,37800,27192,0.719,786.1,21375502.46,emerging
Croatia,CRO,Eastern Europe,2018,10,31798,26055,0.819,933.66,24326632.7,emerging
Croatia,CRO,Eastern Europe,2018,11,21997,20332,0.924,745.03,15147994.52,emerging
Croatia,CRO,Eastern Europe,2018,12,18569,14420,0.777,1129.79,16291523.88,emerging
Croatia,CRO,Eastern Europe,2019,1,23837,20356,0.854,802.11,16327847.75,emerging
Croatia,CRO,Eastern Europe,2019,2,14969,11430,0.764,684.39,7822605.8,emerging
Croatia,CRO,Eastern Europe,2019,3,26642,21814,0.819,930.21,20291554.95,emerging
Croatia,CRO,Eastern Europe,2019,4,24689,19238,0.779,705.03,13563356.81,emerging
Croatia,CRO,Eastern Europe,2019,5,30842,25094,0.814,739.05,18545714.84,emerging
Croatia,CRO,Eastern Europe,2019,6,48088,37507,0.78,1094.19,41039873.63,emerging
Croatia,CRO,Eastern Europe,2019,7,48889,29348,0.6,1313.33,38543656.23,emerging
Croatia,CRO,Eastern Europe,2019,8,38465,23173,0.602,1227.91,28454389.5,emerging
Croatia,CRO,Eastern Europe,2019,9,42531,38259,0.9,744.26,28474827.85,emerging
Croatia,CRO,Eastern Europe,2019,10,25470,20863,0.819,889.77,18563326.29,emerging
Croatia,CRO,Eastern Europe,2019,11,17426,13092,0.751,709.45,9288117.12,emerging
Croatia,CRO,Eastern Europe,2019,12,14937,11933,0.799,1054.9,12588158.57,emerging
Croatia,CRO,Eastern Europe,2020,1,5035,3434,0.682,793.2,2723851.4,emerging
Croatia,CRO,Eastern Europe,2020,2,3802,2946,0.775,916.81,2700928.07,emerging
Croatia,CRO,Eastern Europe,2020,3,5700,4678,0.821,893.14,4178108.0,emerging
Croatia,CRO,Eastern Europe,2020,4,8302,5363,0.646,691.05,3706109.98,emerging
Croatia,CRO,Eastern Europe,2020,5,10374,8229,0.793,738.47,6076871.46,emerging
Croatia,CRO,Eastern Europe,2020,6,15097,12944,0.857,1113.99,14419432.03,emerging
Croatia,CRO,Eastern Europe,2020,7,17147,11758,0.686,1249.59,14692690.24,emerging
Croatia,CRO,Eastern Europe,2020,8,12408,10451,0.842,1101.18,11508466.69,emerging
Croatia,CRO,Eastern Europe,2020,9,10967,7242,0.66,865.12,6265210.42,emerging
Croatia,CRO,Eastern Europe,2020,10,7603,5001,0.658,726.95,3635500.97,emerging
Croatia,CRO,Eastern Europe,2020,11,5065,4359,0.861,930.14,4054492.85,emerging
Croatia,CRO,Eastern Europe,2020,12,6329,5703,0.901,1022.04,5828708.97,emerging
Croatia,CRO,Eastern Europe,2021,1,10361,8243,0.796,929.36,7660686.17,emerging
Croatia,CRO,Eastern Europe,2021,2,9018,6591,0.731,717.27,4727513.87,emerging
Croatia,CRO,Eastern Europe,2021,3,12573,9140,0.727,862.02,7878877.43,emerging
Croatia,CRO,Eastern Europe,2021,4,11995,10774,0.898,920.1,9913110.17,emerging
Croatia,CRO,Eastern Europe,2021,5,26039,23944,0.92,683.91,16375577.35,emerging
Croatia,CRO,Eastern Europe,2021,6,29456,21450,0.728,1315.56,28218667.2,emerging
Croatia,CRO,Eastern Europe,2021,7,25918,19601,0.756,1035.02,20287346.5,emerging
Croatia,CRO,Eastern Europe,2021,8,21019,19550,0.93,1295.61,25329102.15,emerging
Croatia,CRO,Eastern Europe,2021,9,23147,18145,0.784,870.93,15803068.9,emerging
Croatia,CRO,Eastern Europe,2021,10,15828,13717,0.867,803.68,11024039.29,emerging
Croatia,CRO,Eastern Europe,2021,11,12995,12185,0.938,800.19,9750259.92,emerging
Croatia,CRO,Eastern Europe,2021,12,10463,9594,0.917,1326.88,12730061.47,emerging
Croatia,CRO,Eastern Europe,2022,1,15327,12151,0.793,767.79,9329376.11,emerging
Croatia,CRO,Eastern Europe,2022,2,12041,7368,0.612,865.32,6375646.81,emerging
Croatia,CRO,Eastern Europe,2022,3,15486,12579,0.812,913.73,11493822.92,emerging
Croatia,CRO,Eastern Europe,2022,4,26353,15852,0.602,760.85,12061059.72,emerging
Croatia,CRO,Eastern Europe,2022,5,30292,23862,0.788,885.91,21139697.22,emerging
Croatia,CRO,Eastern Europe,2022,6,36499,27553,0.755,1142.05,31467019.34,emerging
Croatia,CRO,Eastern Europe,2022,7,37068,30710,0.828,1144.83,35157855.58,emerging
Croatia,CRO,Eastern Europe,2022,8,41306,37852,0.916,1115.99,42242294.83,emerging
Croatia,CRO,Eastern Europe,2022,9,35953,29407,0.818,903.93,26581958.81,emerging
Croatia,CRO,Eastern Europe,2022,10,22733,15640,0.688,761.86,11915488.29,emerging
Croatia,CRO,Eastern Europe,2022,11,18520,12226,0.66,901.39,11020409.32,emerging
Croatia,CRO,Eastern Europe,2022,12,12363,11585,0.937,1218.38,14114939.31,emerging
United States,UNI,North America,2018,1,3586142,2836877,0.791,3568.71,10123981443.59,mature
United States,UNI,North America,2018,2,4265788,2562263,0.601,3509.75,8992910010.19,mature
United States,UNI,North America,2018,3,4677126,3933393,0.841,3102.2,12202184159.04,mature
United States,UNI,North America,2018,4,5358990,3745525,0.699,3505.54,13130090951.92,mature
United States,UNI,North America,2018,5,7161667,5583215,0.78,2852.03,15923512396.81,mature
United States,UNI,North America,2018,6,6078913,3980482,0.655,4578.93,18226337471.91,mature
United States,UNI,North America,2018,7,6994940,4299956,0.615,4491.72,19314188048.31,mature
United States,UNI,North America,2018,8,7239952,6603511,0.912,4660.87,30778101423.93,mature
United States,UNI,North America,2018,9,7001025,5092718,0.727,3083.83,15705087879.9,mature
United States,UNI,North America,2018,10,6779430,5794245,0.855,3013.91,17463350956.2,mature
United States,UNI,North America,2018,11,5174419,4777796,0.923,3216.2,15366336338.18,mature
United States,UNI,North America,2018,12,4533868,3965398,0.875,4049.79,16059028235.39,mature
United States,UNI,North America,2019,1,3693962,3456813,0.936,2952.62,10206651336.63,mature
United States,UNI,North America,2019,2,4013890,3252947,0.81,2815.59,9158969724.56,mature
United States,UNI,North America,2019,3,6205818,4061572,0.654,3165.3,12856088263.61,mature
United States,UNI,North America,2019,4,7564666,5646570,0.746,2973.18,16788256371.4,mature
United States,UNI,North America,2019,5,5567276,3985183,0.716,3085.89,12297825679.66,mature
United States,UNI,North America,2019,6,6520867,5699185,0.874,4821.75,27480021415.39,mature
United States,UNI,North America,2019,7,7628996,4837563,0.634,3900.23,18867627934.91,mature
United States,UNI,North America,2019,8,8072777,5440868,0.674,3916.36,21308382626.62,mature
United States,UNI,North America,2019,9,5731936,5369101,0.937,3272.69,17571425902.93,mature
United States,UNI,North America,2019,10,6892279,4484521,0.651,2671.46,11980200311.73,mature
United States,UNI,North America,2019,11,3711774,3468585,0.934,2892.7,10033567737.19,mature
United States,UNI,North America,2019,12,4879763,3601671,0.738,4849.59,17466642129.24,mature
United States,UNI,North America,2020,1,1316528,1036645,0.787,3570.69,3701540742.63,mature
United States,UNI,North America,2020,2,1241756,984644,0.793,3089.96,3042515360.35,mature
United States,UNI,North America,2020,3,1499834,1039975,0.693,2766.18,2876754993.94,mature
United States,UNI,North America,2020,4,1906719,1421394,0.745,3490.88,4961919950.13,mature
United States,UNI,North America,2020,5,1773947,1414758,0.798,2668.7,3775558489.92,mature
United States,UNI,North America,2020,6,2032312,1707374,0.84,4732.09,8079453410.6,mature
United States,UNI,North America,2020,7,2097815,1953818,0.931,4318.15,8436882450.09,mature
United States,UNI,North America,2020,8,1867660,1765910,0.946,4870.12,8600193896.8,mature
United States,UNI,North America,2020,9,2034213,1886876,0.928,2688.84,5073506607.2,mature
United States,UNI,North America,2020,10,1370463,1149623,0.839,2773.52,3188505541.17,mature
United States,UNI,North America,2020,11,1547086,1383289,0.894,2898.71,4009750950.78,mature
United States,UNI,North America,2020,12,1659289,1020480,0.615,4613.23,4707708142.75,mature
United States,UNI,North America,2021,1,3020310,2716418,0.899,2947.17,8005749686.44,mature
United States,UNI,North America,2021,2,2187302,1473561,0.674,3101.65,4570463374.75,mature
United States,UNI,North America,2021,3,3448931,2108969,0.611,3003.21,6333682632.87,mature
United States,UNI,North America,2021,4,3475325,2625660,0.756,2764.95,7259808130.58,mature
United States,UNI,North America,2021,5,4201096,2912184,0.693,3378.47,9838719169.82,mature
United States,UNI,North America,2021,6,4199847,3141949,0.748,4537.55,14256748490.95,mature
United States,UNI,North America,2021,7,4724412,3688659,0.781,4192.43,15464451301.64,mature
United States,UNI,North America,2021,8,4566220,3509594,0.769,4171.34,14639693503.24,mature
United States,UNI,North America,2021,9,4726371,4267663,0.903,3465.39,14789103634.11,mature
United States,UNI,North America,2021,10,2751467,1804863,0.656,3153.89,5692338938.06,mature
United States,UNI,North America,2021,11,3341718,2050337,0.614,3083.45,6322105524.34,mature
United States,UNI,North America,2021,12,2435906,1642394,0.674,4391.73,7212942797.69,mature
United States,UNI,North America,2022,1,4412539,3764492,0.853,2892.05,10887094017.88,mature
United States,UNI,North America,2022,2,2984791,2048550,0.686,3195.57,6546290682.59,mature
United States,UNI,North America,2022,3,4134739,3286732,0.795,3315.01,10895537865.09,mature
United States,UNI,North America,2022,4,4039876,3165014,0.783,3277.7,10373960696.43,mature
United States,UNI,North America,2022,5,6099711,5067688,0.831,3553.05,18005772636.34,mature
United States,UNI,North America,2022,6,6481163,5651613,0.872,4998.63,28250333891.12,mature
United States,UNI,North America,2022,7,6505412,4886972,0.751,4633.8,22645259620.4,mature
United States,UNI,North America,2022,8,6792080,6089848,0.897,3935.19,23964703305.73,mature
United States,UNI,North America,2022,9,3259587,2961651,0.909,2657.62,7870950732.3,mature
United States,UNI,North America,2022,10,3532792,2553988,0.723,3331.97,8509816623.84,mature
United States,UNI,North America,2022,11,4369612,4081705,0.934,2822.18,11519298623.69,mature
United States,UNI,North America,2022,12,3519102,2459921,0.699,4219.15,10378770120.02,mature
Canada,CAN,North America,2018,1,538191,336327,0.625,2059.41,692634256.71,mature
Canada,CAN,North America,2018,2,389910,255794,0.656,2381.04,609054855.74,mature
Canada,CAN,North America,2018,3,561632,529996,0.944,2407.3,1275860889.56,mature
Canada,CAN,North America,2018,4,704360,547141,0.777,2206.22,1207112209.7,mature
Canada,CAN,North America,2018,5,825623,751296,0.91,2221.21,1668787814.17,mature
Canada,CAN,North America,2018,6,612728,470848,0.768,3496.32,1646236777.87,mature
Canada,CAN,North America,2018,7,1151706,1041775,0.905,3306.67,3444808025.64,mature
Canada,CAN,North America,2018,8,645965,606433,0.939,3526.22,2138414163.85,mature
Canada,CAN,North America,2018,9,616032,393916,0.639,2163.88,852386161.45,mature
Canada,CAN,North America,2018,10,781933,573751,0.734,1892.06,1085570146.83,mature
Canada,CAN,North America,2018,11,567157,407302,0.718,2037.45,829855859.2,mature
Canada,CAN,North America,2018,12,488079,444133,0.91,3202.73,1422439219.08,mature
Canada,CAN,North America,2019,1,579361,481438,0.831,2172.02,1045694736.44,mature
Canada,CAN,North America,2019,2,349614,255997,0.732,2013.1,515347577.08,mature
Canada,CAN,North America,2019,3,656650,583969,0.889,2191.06,1279510811.53,mature
Canada,CAN,North America,2019,4,807057,734618,0.91,2426.19,1782325578.08,mature
Canada,CAN,North America,2019,5,613065,521795,0.851,2211.23,1153806951.11,mature
Canada,CAN,North America,2019,6,825729,571555,0.692,3325.33,1900607938.94,mature
Canada,CAN,North America,2019,7,798354,712077,0.892,3415.83,2432333375.53,mature
Canada,CAN,North America,2019,8,749111,497671,0.664,3345.96,1665186537.12,mature
Canada,CAN,North America,2019,9,688077,547036,0.795,2307.95,1262530556.43,mature
Canada,CAN,North America,2019,10,723911,494892,0.684,2174.99,1076384752.24,mature
Canada,CAN,North America,2019,11,634583,574600,0.905,1994.0,1145753168.31,mature
Canada,CAN,North America,2019,12,508333,346422,0.681,3550.95,1230127049.38,mature
Canada,CAN,North America,2020,1,130762,97613,0.747,1808.83,176565511.71,mature
Canada,CAN,North America,2020,2,87106,72650,0.834,2198.13,159694382.17,mature
Canada,CAN,North America,2020,3,165673,105800,0.639,2037.64,215582448.42,mature
Canada,CAN,North America,2020,4,239867,158604,0.661,2395.81,379985666.91,mature
Canada,CAN,North America,2020,5,151255,99707,0.659,2122.48,211626235.38,mature
Canada,CAN,North America,2020,6,281718,201524,0.715,3292.4,663496850.64,mature
Canada,CAN,North America,2020,7,286367,186816,0.652,2923.35,546128593.07,mature
Canada,CAN,North America,2020,8,265948,176773,0.665,3325.51,587860184.92,mature
Canada,CAN,North America,2020,9,263727,169267,0.642,2069.45,350289228.1,mature
Canada,CAN,North America,2020,10,164112,111193,0.678,1880.32,209077915.24,mature
Canada,CAN,North America,2020,11,170415,146764,0.861,2256.84,331222262.45,mature
Canada,CAN,North America,2020,12,172852,112524,0.651,2987.86,336206052.72,mature
Canada,CAN,North America,2021,1,308553,210195,0.681,1895.99,398527268.56,mature
Canada,CAN,North America,2021,2,257145,229387,0.892,2444.31,560693927.72,mature
Canada,CAN,North America,2021,3,295870,262763,0.888,2356.59,619225251.49,mature
Canada,CAN,North America,2021,4,352726,225219,0.639,2468.26,555898013.96,mature
Canada,CAN,North America,2021,5,477487,450637,0.944,2126.47,958264922.67,mature
Canada,CAN,North America,2021,6,387588,266084,0.687,3585.21,953968295.27,mature
Canada,CAN,North America,2021,7,554998,337614,0.608,3161.22,1067272659.89,mature
Canada,CAN,North America,2021,8,552662,382156,0.691,3271.15,1250088569.43,mature
Canada,CAN,North America,2021,9,399228,295743,0.741,1815.56,536937913.82,mature
Canada,CAN,North America,2021,10,383597,246547,0.643,1944.32,479365838.92,mature
Canada,CAN,North America,2021,11,379152,269059,0.71,1910.17,513947591.45,mature
Canada,CAN,North America,2021,12,306414,206895,0.675,2943.88,609074133.82,mature
Canada,CAN,North America,2022,1,500316,429747,0.859,2299.27,988104508.25,mature
Canada,CAN,North America,2022,2,349175,265025,0.759,2331.66,617948323.84,mature
Canada,CAN,North America,2022,3,349308,228192,0.653,2248.67,513128315.14,mature
Canada,CAN,North America,2022,4,500835,424958,0.848,1973.21,838529314.49,mature
Canada,CAN,North America,2022,5,486776,444834,0.914,2084.62,927309032.63,mature
Canada,CAN,North America,2022,6,675752,430682,0.637,2860.95,1232158054.98,mature
Canada,CAN,North America,2022,7,671974,502992,0.749,3590.03,1805755365.81,mature
Canada,CAN,North America,2022,8,845796,694836,0.822,3474.99,2414545957.88,mature
Canada,CAN,North America,2022,9,708100,516253,0.729,1917.14,989731248.89,mature
Canada,CAN,North America,2022,10,621642,414988,0.668,2081.76,863907154.2,mature
Canada,CAN,North America,2022,11,515875,332858,0.645,1887.09,628132822.77,mature
Canada,CAN,North America,2022,12,333959,264886,0.793,2926.55,775202422.74,mature
Mexico,MEX,North America,2018,1,1020450,720125,0.706,475.94,342733650.17,emerging
Mexico,MEX,North America,2018,2,749541,706820,0.943,473.91,334967430.03,emerging
Mexico,MEX,North America,2018,3,996513,842244,0.845,473.58,398873203.51,emerging
Mexico,MEX,North America,2018,4,1128677,878958,0.779,502.15,441365018.47,emerging
Mexico,MEX,North America,2018,5,1380092,867627,0.629,402.7,349391210.33,emerging
Mexico,MEX,North America,2018,6,1382577,902239,0.653,781.24,704863436.26,emerging
Mexico,MEX,North America,2018,7,1141987,842785,0.738,742.42,625696649.2,emerging
Mexico,MEX,North America,2018,8,1893247,1452498,0.767,636.23,924118447.84,emerging
Mexico,MEX,North America,2018,9,1251717,934580,0.747,454.69,424943421.69,emerging
Mexico,MEX,North America,2018,10,1106320,714847,0.646,537.0,383870364.08,emerging
Mexico,MEX,North America,2018,11,822337,620042,0.754,547.05,339192874.83,emerging
Mexico,MEX,North America,2018,12,850171,615858,0.724,629.22,387509873.23,emerging
Mexico,MEX,North America,2019,1,1068427,646286,0.605,502.21,324570087.12,emerging
Mexico,MEX,North America,2019,2,1032273,628454,0.609,508.78,319742456.61,emerging
Mexico,MEX,North America,2019,3,1320630,1088033,0.824,462.2,502890856.95,emerging
Mexico,MEX,North America,2019,4,1553252,1233224,0.794,512.42,631923865.83,emerging
Mexico,MEX,North America,2019,5,1504988,923162,0.613,431.97,398779903.04,emerging
Mexico,MEX,North America,2019,6,1426544,909194,0.637,603.08,548317716.47,emerging
Mexico,MEX,North America,2019,7,1767084,1170742,0.663,771.14,902805171.16,emerging
Mexico,MEX,North America,2019,8,1828182,1463664,0.801,697.8,1021350987.68,emerging
Mexico,MEX,North America,2019,9,1211585,928356,0.766,496.18,460635756.84,emerging
Mexico,MEX,North America,2019,10,1450407,911709,0.629,506.27,461570644.94,emerging
Mexico,MEX,North America,2019,11,1281950,1019971,0.796,432.15,440778304.65,emerging
Mexico,MEX,North America,2019,12,983648,763258,0.776,695.14,530572707.35,emerging
Mexico,MEX,North America,2020,1,250537,160040,0.639,427.43,68406516.99,emerging
Mexico,MEX,North America,2020,2,189702,129920,0.685,439.52,57102635.54,emerging
Mexico,MEX,North America,2020,3,262078,176594,0.674,510.31,90118268.11,emerging
Mexico,MEX,North America,2020,4,420845,300688,0.714,445.77,134037489.43,emerging
Mexico,MEX,North America,2020,5,484851,396789,0.818,444.02,176180564.92,emerging
Mexico,MEX,North America,2020,6,452619,326160,0.721,717.31,233958195.83,emerging
Mexico,MEX,North America,2020,7,585068,412799,0.706,786.11,324503440.51,emerging
Mexico,MEX,North America,2020,8,505264,398703,0.789,692.0,275901183.37,emerging
Mexico,MEX,North America,2020,9,415638,258270,0.621,494.07,127603031.62,emerging
Mexico,MEX,North America,2020,10,336144,257234,0.765,415.79,106956325.75,emerging
Mexico,MEX,North America,2020,11,317834,266308,0.838,534.32,142292520.89,emerging
Mexico,MEX,North America,2020,12,231492,184301,0.796,645.68,118998918.13,emerging
Mexico,MEX,North America,2021,1,498672,357984,0.718,498.33,178393748.66,emerging
Mexico,MEX,North America,2021,2,478881,423645,0.885,428.82,181669434.84,emerging
Mexico,MEX,North America,2021,3,539385,336168,0.623,437.04,146917962.81,emerging
Mexico,MEX,North America,2021,4,517286,371122,0.717,501.82,186237219.67,emerging
Mexico,MEX,North America,2021,5,617229,571873,0.927,431.91,246998997.59,emerging
Mexico,MEX,North America,2021,6,945208,676247,0.715,647.19,437662138.83,emerging
Mexico,MEX,North America,2021,7,1009142,742253,0.736,788.1,584970922.46,emerging
Mexico,MEX,North America,2021,8,1084031,727853,0.671,623.84,454064737.08,emerging
Mexico,MEX,North America,2021,9,905135,553249,0.611,544.66,301332151.24,emerging
Mexico,MEX,North America,2021,10,651502,447308,0.687,492.62,220351489.18,emerging
Mexico,MEX,North America,2021,11,482674,301792,0.625,524.17,158189559.0,emerging
Mexico,MEX,North America,2021,12,476571,372387,0.781,635.34,236592059.33,emerging
Mexico,MEX,North America,2022,1,684440,498766,0.729,475.92,237373681.26,emerging
Mexico,MEX,North America,2022,2,641809,497638,0.775,517.38,257465984.09,emerging
Mexico,MEX,North America,2022,3,664769,413743,0.622,423.83,175356341.78,emerging
Mexico,MEX,North America,2022,4,954361,826252,0.866,421.21,348021614.68,emerging
Mexico,MEX,North America,2022,5,873111,733281,0.84,528.29,387386682.19,emerging
Mexico,MEX,North America,2022,6,1129087,757594,0.671,716.75,543008211.27,emerging
Mexico,MEX,North America,2022,7,1661677,1145792,0.69,705.54,808406854.49,emerging
Mexico,MEX,North America,2022,8,1276854,866921,0.679,793.92,688264069.75,emerging
Mexico,MEX,North America,2022,9,1286842,972831,0.756,420.52,409091690.69,emerging
Mexico,MEX,North America,2022,10,1277521,880844,0.689,425.28,374603284.72,emerging
Mexico,MEX,North America,2022,11,895336,703239,0.785,414.62,291574176.02,emerging
Mexico,MEX,North America,2022,12,628568,380517,0.605,778.37,296184467.87,emerging
Costa Rica,COS,Central America,2018,1,38634,33092,0.857,563.98,18663189.55,emerging
Costa Rica,COS,Central America,2018,2,22815,19630,0.86,647.72,12714812.23,emerging
Costa Rica,COS,Central America,2018,3,25516,19469,0.763,536.75,10449929.18,emerging
Costa Rica,COS,Central America,2018,4,23194,17210,0.742,651.32,11209274.72,emerging
Costa Rica,COS,Central America,2018,5,32359,24995,0.772,651.27,16278437.28,emerging
Costa Rica,COS,Central America,2018,6,37380,33726,0.902,734.1,24758376.19,emerging
Costa Rica,COS,Central America,2018,7,42975,28605,0.666,955.18,27323050.0,emerging
Costa Rica,COS,Central America,2018,8,36799,27802,0.756,794.07,22076664.02,emerging
Costa Rica,COS,Central America,2018,9,31254,21492,0.688,653.76,14050548.33,emerging
Costa Rica,COS,Central America,2018,10,28400,23533,0.829,504.74,11878059.32,emerging
Costa Rica,COS,Central America,2018,11,34307,27098,0.79,656.3,17784425.59,emerging
Costa Rica,COS,Central America,2018,12,18595,12429,0.668,803.04,9981040.83,emerging
Costa Rica,COS,Central America,2019,1,27247,22633,0.831,620.1,14034780.64,emerging
Costa Rica,COS,Central America,2019,2,21591,17340,0.803,647.79,11232684.87,emerging
Costa Rica,COS,Central America,2019,3,28086,17778,0.633,608.99,10826602.63,emerging
Costa Rica,COS,Central America,2019,4,34492,28645,0.831,578.17,16561657.09,emerging
Costa Rica,COS,Central America,2019,5,51685,47093,0.911,602.05,28352486.67,emerging
Costa Rica,COS,Central America,2019,6,39231,27134,0.692,931.74,25281792.79,emerging
Costa Rica,COS,Central America,2019,7,53093,46522,0.876,827.97,38518699.83,emerging
Costa Rica,COS,Central America,2019,8,33414,23939,0.716,758.68,18161940.13,emerging
Costa Rica,COS,Central America,2019,9,44276,37421,0.845,495.91,18557609.99,emerging
Costa Rica,COS,Central America,2019,10,37735,34185,0.906,605.53,20699891.72,emerging
Costa Rica,COS,Central America,2019,11,32699,23188,0.709,639.68,14832839.9,emerging
Costa Rica,COS,Central America,2019,12,29173,26237,0.899,907.92,23821096.02,emerging
Costa Rica,COS,Central America,2020,1,10941,10354,0.946,614.78,6365396.22,emerging
Costa Rica,COS,Central America,2020,2,5971,4011,0.672,486.34,1950690.19,emerging
Costa Rica,COS,Central America,2020,3,6596,4099,0.622,570.29,2337623.09,emerging
Costa Rica,COS,Central America,2020,4,8719,6673,0.765,641.79,4282673.77,emerging
Costa Rica,COS,Central America,2020,5,14464,13457,0.93,520.8,7008357.41,emerging
Costa Rica,COS,Central America,2020,6,10095,7182,0.712,838.52,6022227.31,emerging
Costa Rica,COS,Central America,2020,7,12226,7490,0.613,775.98,5812101.23,emerging
Costa Rica,COS,Central America,2020,8,12049,10488,0.871,856.67,8984737.43,emerging
Costa Rica,COS,Central America,2020,9,8507,6310,0.742,497.29,3137878.61,emerging
Costa Rica,COS,Central America,2020,10,11014,9957,0.904,491.81,4896936.46,emerging
