Country,Country_Code,Region,Year,Month,Hotel_Bookings,Average_Daily_Rate,Occupancy_Rate,Revenue,Tourism_Maturity
United States,UNI,North America,2022,9,1639819,9239.65,0.75,11361421597.4,mature
United States,UNI,North America,2022,10,2135643,6309.48,0.891,12005897038.04,mature
United States,UNI,North America,2022,11,2276658,8831.18,0.926,18619066897.94,mature
United States,UNI,North America,2022,12,1302234,10516.69,0.842,11529629857.27,mature
Canada,CAN,North America,2018,1,308705,5356.16,0.601,994233264.32,mature
Canada,CAN,North America,2018,2,219531,4605.29,0.531,536956794.87,mature
Canada,CAN,North America,2018,3,292851,4363.62,0.666,851121412.33,mature
Canada,CAN,North America,2018,4,474418,6047.42,0.918,2633449656.94,mature
Canada,CAN,North America,2018,5,410961,4737.83,0.847,1648431420.9,mature
Canada,CAN,North America,2018,6,440008,9577.0,0.776,3269012851.73,mature
Canada,CAN,North America,2018,7,469189,7127.27,0.481,1608348013.01,mature
Canada,CAN,North America,2018,8,468593,8267.66,0.87,3371465137.72,mature
Canada,CAN,North America,2018,9,357039,5564.21,0.413,821033085.21,mature
Canada,CAN,North America,2018,10,319044,4957.93,0.747,1181360374.32,mature
Canada,CAN,North America,2018,11,245283,5844.29,0.6,860708618.87,mature
Canada,CAN,North America,2018,12,259950,7284.52,0.774,1465400688.13,mature
Canada,CAN,North America,2019,1,247184,5927.53,0.621,910167907.65,mature
Canada,CAN,North America,2019,2,201631,6302.62,0.411,522738598.45,mature
Canada,CAN,North America,2019,3,226324,5859.75,0.756,1001967792.0,mature
Canada,CAN,North America,2019,4,317721,5114.87,0.423,687523136.78,mature
Canada,CAN,North America,2019,5,302486,4926.14,0.859,1279575351.49,mature
Canada,CAN,North America,2019,6,374480,8603.18,0.881,2836931112.73,mature
Canada,CAN,North America,2019,7,382445,8911.89,0.874,2978577463.37,mature
Canada,CAN,North America,2019,8,373075,7982.49,0.939,2796094785.01,mature
Canada,CAN,North America,2019,9,402412,4382.72,0.437,769917086.25,mature
Canada,CAN,North America,2019,10,287909,4853.88,0.643,897951652.38,mature
Canada,CAN,North America,2019,11,293721,6208.66,0.582,1060780054.93,mature
Canada,CAN,North America,2019,12,344257,7272.39,0.423,1059088874.06,mature
Canada,CAN,North America,2020,1,66484,3941.09,0.616,161369663.43,mature
Canada,CAN,North America,2020,2,61512,4432.0,0.788,214903850.57,mature
Canada,CAN,North America,2020,3,74050,3901.28,0.706,204008352.57,mature
Canada,CAN,North America,2020,4,120893,4885.56,0.74,436778172.82,mature
Canada,CAN,North America,2020,5,103382,5912.18,0.507,309659820.74,mature
Canada,CAN,North America,2020,6,130724,8375.11,0.81,887119167.78,mature
Canada,CAN,North America,2020,7,137975,7365.49,0.713,725045955.05,mature
Canada,CAN,North America,2020,8,113096,8418.39,0.883,841069373.01,mature
Canada,CAN,North America,2020,9,128756,5004.55,0.651,419258339.42,mature
Canada,CAN,North America,2020,10,92802,5182.89,0.923,443808914.87,mature
Canada,CAN,North America,2020,11,85203,4529.13,0.692,267173115.82,mature
Canada,CAN,North America,2020,12,77636,8747.38,0.722,490243953.51,mature
Canada,CAN,North America,2021,1,143298,3870.7,0.586,324929640.82,mature
Canada,CAN,North America,2021,2,125512,3946.87,0.848,420196956.11,mature
Canada,CAN,North America,2021,3,162853,6246.81,0.485,493320343.65,mature
Canada,CAN,North America,2021,4,151850,5082.25,0.504,388973367.3,mature
Canada,CAN,North America,2021,5,264078,3807.82,0.627,630427409.91,mature
Canada,CAN,North America,2021,6,236802,8057.93,0.451,860969224.13,mature
Canada,CAN,North America,2021,7,283612,8364.63,0.502,1190503904.8,mature
Canada,CAN,North America,2021,8,286737,9278.13,0.88,2340976399.12,mature
Canada,CAN,North America,2021,9,173018,4214.44,0.551,402073425.09,mature
Canada,CAN,North America,2021,10,192228,4754.69,0.864,789885324.72,mature
Canada,CAN,North America,2021,11,189544,4051.23,0.744,570928759.35,mature
Canada,CAN,North America,2021,12,125601,7708.6,0.498,482001577.43,mature
Canada,CAN,North America,2022,1,207378,5444.27,0.71,801585664.66,mature
Canada,CAN,North America,2022,2,153050,6453.47,0.632,624238410.78,mature
Canada,CAN,North America,2022,3,167011,4105.54,0.721,494464927.24,mature
Canada,CAN,North America,2022,4,309611,5324.27,0.922,1519827863.25,mature
Canada,CAN,North America,2022,5,255873,4956.77,0.675,856110239.74,mature
Canada,CAN,North America,2022,6,351760,8012.56,0.875,2466573830.05,mature
Canada,CAN,North America,2022,7,334897,8207.36,0.681,1871936253.76,mature
Canada,CAN,North America,2022,8,383631,7765.39,0.635,1892033728.16,mature
Canada,CAN,North America,2022,9,339087,5634.66,0.825,1577135561.01,mature
Canada,CAN,North America,2022,10,320753,4702.27,0.95,1432399323.8,mature
Canada,CAN,North America,2022,11,260024,4482.06,0.507,591239278.39,mature
Canada,CAN,North America,2022,12,173707,8241.33,0.868,1242522366.77,mature
Mexico,MEX,North America,2018,1,566311,900.5,0.55,280263184.31,emerging
Mexico,MEX,North America,2018,2,426738,673.3,0.46,132157660.16,emerging
Mexico,MEX,North America,2018,3,487461,617.2,0.767,230830298.3,emerging
Mexico,MEX,North America,2018,4,667459,884.1,0.477,281333185.96,emerging
Mexico,MEX,North America,2018,5,780810,959.71,0.868,650492187.47,emerging
Mexico,MEX,North America,2018,6,817180,1304.87,0.632,673886722.94,emerging
Mexico,MEX,North America,2018,7,716552,1329.67,0.747,712034343.24,emerging
Mexico,MEX,North America,2018,8,940187,1219.51,0.467,535088456.17,emerging
Mexico,MEX,North America,2018,9,705279,666.02,0.611,287209701.94,emerging
Mexico,MEX,North America,2018,10,475142,713.12,0.845,286258588.81,emerging
Mexico,MEX,North America,2018,11,515080,563.92,0.658,191245608.07,emerging
Mexico,MEX,North America,2018,12,366227,1231.02,0.623,280679969.84,emerging
Mexico,MEX,North America,2019,1,528465,576.47,0.776,236396189.05,emerging
Mexico,MEX,North America,2019,2,510919,943.7,0.498,239966977.9,emerging
Mexico,MEX,North America,2019,3,557369,577.44,0.675,217100733.22,emerging
Mexico,MEX,North America,2019,4,574271,895.16,0.463,237820502.75,emerging
Mexico,MEX,North America,2019,5,730833,768.44,0.934,524763556.57,emerging
Mexico,MEX,North America,2019,6,910985,1155.14,0.532,560292429.25,emerging
Mexico,MEX,North America,2019,7,776649,1342.61,0.78,813244724.98,emerging
Mexico,MEX,North America,2019,8,867502,1056.34,0.82,751019488.93,emerging
Mexico,MEX,North America,2019,9,709454,945.56,0.723,484982716.15,emerging
Mexico,MEX,North America,2019,10,600537,712.61,0.497,212566875.88,emerging
Mexico,MEX,North America,2019,11,636344,843.09,0.51,273803951.85,emerging
Mexico,MEX,North America,2019,12,418085,1070.8,0.902,403627944.12,emerging
Mexico,MEX,North America,2020,1,113683,697.67,0.554,43961241.73,emerging
Mexico,MEX,North America,2020,2,109155,845.62,0.879,81118949.96,emerging
Mexico,MEX,North America,2020,3,127392,834.56,0.594,63142580.64,emerging
Mexico,MEX,North America,2020,4,222513,679.57,0.404,61083272.05,emerging
Mexico,MEX,North America,2020,5,214433,620.29,0.424,56459507.59,emerging
Mexico,MEX,North America,2020,6,225029,1332.9,0.653,195977434.09,emerging
Mexico,MEX,North America,2020,7,261669,1255.3,0.746,245168409.69,emerging
Mexico,MEX,North America,2020,8,282683,1306.33,0.51,188256269.46,emerging
Mexico,MEX,North America,2020,9,169405,735.99,0.645,80464512.96,emerging
Mexico,MEX,North America,2020,10,168909,706.96,0.489,58437330.79,emerging
Mexico,MEX,North America,2020,11,159388,645.89,0.802,82606539.7,emerging
Mexico,MEX,North America,2020,12,118075,1323.45,0.629,98279336.43,emerging
Mexico,MEX,North America,2021,1,298694,953.41,0.768,218826676.76,emerging
Mexico,MEX,North America,2021,2,229742,763.17,0.914,160261596.84,emerging
Mexico,MEX,North America,2021,3,296258,956.71,0.743,210506437.49,emerging
Mexico,MEX,North America,2021,4,330916,777.15,0.543,139519104.77,emerging
Mexico,MEX,North America,2021,5,290755,917.6,0.431,114928689.32,emerging
Mexico,MEX,North America,2021,6,518035,1188.99,0.613,377374858.69,emerging
Mexico,MEX,North America,2021,7,486264,1381.53,0.729,489977366.2,emerging
Mexico,MEX,North America,2021,8,515361,1230.18,0.625,395964476.14,emerging
Mexico,MEX,North America,2021,9,373016,601.11,0.699,156668999.2,emerging
Mexico,MEX,North America,2021,10,310076,824.32,0.576,147115320.14,emerging
Mexico,MEX,North America,2021,11,275084,580.94,0.946,151162154.77,emerging
Mexico,MEX,North America,2021,12,246436,1049.7,0.698,180476897.01,emerging
Mexico,MEX,North America,2022,1,476512,869.02,0.785,325274110.34,emerging
Mexico,MEX,North America,2022,2,248266,823.09,0.821,167863283.67,emerging
Mexico,MEX,North America,2022,3,404188,917.1,0.552,204743375.93,emerging
Mexico,MEX,North America,2022,4,385968,907.83,0.744,260681183.11,emerging
Mexico,MEX,North America,2022,5,430205,701.25,0.872,263012953.25,emerging
Mexico,MEX,North America,2022,6,415565,1041.3,0.555,240030740.82,emerging
Mexico,MEX,North America,2022,7,878035,1400.59,0.685,842783426.19,emerging
Mexico,MEX,North America,2022,8,704292,1172.8,0.534,441127383.69,emerging
Mexico,MEX,North America,2022,9,621913,602.52,0.668,250325605.95,emerging
Mexico,MEX,North America,2022,10,616864,601.47,0.686,254443997.99,emerging
Mexico,MEX,North America,2022,11,484510,857.0,0.529,219720022.21,emerging
Mexico,MEX,North America,2022,12,280259,1267.81,0.941,334251504.97,emerging
Costa Rica,COS,Central America,2018,1,14666,1145.23,0.793,13317353.02,emerging
Costa Rica,COS,Central America,2018,2,14297,715.03,0.565,5778217.72,emerging
Costa Rica,COS,Central America,2018,3,12162,850.34,0.94,9718347.97,emerging
Costa Rica,COS,Central America,2018,4,10359,941.94,0.403,3935597.08,emerging
Costa Rica,COS,Central America,2018,5,19432,766.65,0.471,7020810.1,emerging
Costa Rica,COS,Central America,2018,6,17640,1618.1,0.459,13091022.0,emerging
Costa Rica,COS,Central America,2018,7,16225,1252.06,0.933,18946081.08,emerging
Costa Rica,COS,Central America,2018,8,21922,1593.55,0.758,26488961.88,emerging
Costa Rica,COS,Central America,2018,9,13771,957.57,0.472,6227801.86,emerging
Costa Rica,COS,Central America,2018,10,14788,945.1,0.707,9886529.65,emerging
Costa Rica,COS,Central America,2018,11,12870,688.53,0.839,7434946.66,emerging
Costa Rica,COS,Central America,2018,12,10458,1287.27,0.47,6328339.12,emerging
Costa Rica,COS,Central America,2019,1,14398,1041.18,0.948,14209731.36,emerging
Costa Rica,COS,Central America,2019,2,11735,906.15,0.53,5636377.94,emerging
Costa Rica,COS,Central America,2019,3,17473,727.4,0.47,5973418.13,emerging
Costa Rica,COS,Central America,2019,4,15434,1004.92,0.672,10418656.33,emerging
Costa Rica,COS,Central America,2019,5,22654,1094.06,0.807,20005922.16,emerging
Costa Rica,COS,Central America,2019,6,21350,1720.49,0.651,23910672.07,emerging
Costa Rica,COS,Central America,2019,7,21690,1724.47,0.413,15431009.54,emerging
Costa Rica,COS,Central America,2019,8,20257,1396.37,0.677,19148435.57,emerging
Costa Rica,COS,Central America,2019,9,20362,787.25,0.706,11321477.18,emerging
Costa Rica,COS,Central America,2019,10,19837,799.92,0.611,9693578.42,emerging
Costa Rica,COS,Central America,2019,11,14768,1065.87,0.799,12572769.3,emerging
Costa Rica,COS,Central America,2019,12,17286,1329.62,0.44,10123681.88,emerging
Costa Rica,COS,Central America,2020,1,4116,749.29,0.693,2137865.2,emerging
Costa Rica,COS,Central America,2020,2,4361,843.47,0.927,3410524.04,emerging
Costa Rica,COS,Central America,2020,3,3069,1116.9,0.5,1712626.2,emerging
Costa Rica,COS,Central America,2020,4,6260,698.99,0.922,4032272.48,emerging
Costa Rica,COS,Central America,2020,5,5790,817.3,0.67,3170649.1,emerging
Costa Rica,COS,Central America,2020,6,4748,1568.41,0.936,6971304.39,emerging
Costa Rica,COS,Central America,2020,7,6231,1594.31,0.448,4454507.95,emerging
Costa Rica,COS,Central America,2020,8,5853,1465.85,0.887,7611658.92,emerging
Costa Rica,COS,Central America,2020,9,4473,998.14,0.525,2346115.75,emerging
Costa Rica,COS,Central America,2020,10,4213,852.54,0.567,2037363.75,emerging
Costa Rica,COS,Central America,2020,11,3594,695.84,0.86,2151259.52,emerging
Costa Rica,COS,Central America,2020,12,3959,1673.94,0.469,3108154.32,emerging
Costa Rica,COS,Central America,2021,1,7516,942.24,0.676,4789788.68,emerging
Costa Rica,COS,Central America,2021,2,8020,947.76,0.558,4240483.43,emerging
Costa Rica,COS,Central America,2021,3,9411,913.15,0.584,5019647.07,emerging
Costa Rica,COS,Central America,2021,4,11786,1021.31,0.616,7420708.51,emerging
Costa Rica,COS,Central America,2021,5,12877,1113.72,0.695,9971253.93,emerging
Costa Rica,COS,Central America,2021,6,8623,1687.58,0.504,7337321.29,emerging
Costa Rica,COS,Central America,2021,7,9972,1405.19,0.8,11207712.5,emerging
Costa Rica,COS,Central America,2021,8,13179,1553.9,0.924,18912410.43,emerging
Costa Rica,COS,Central America,2021,9,10442,701.16,0.732,5361598.26,emerging
Costa Rica,COS,Central America,2021,10,12167,913.31,0.428,4759724.78,emerging
Costa Rica,COS,Central America,2021,11,8436,789.5,0.586,3901703.66,emerging
Costa Rica,COS,Central America,2021,12,6738,1682.35,0.684,7748608.52,emerging
Costa Rica,COS,Central America,2022,1,12956,704.24,0.43,3921236.08,emerging
Costa Rica,COS,Central America,2022,2,9446,1097.9,0.691,7162737.95,emerging
Costa Rica,COS,Central America,2022,3,18444,1061.28,0.442,8646294.66,emerging
Costa Rica,COS,Central America,2022,4,14000,987.7,0.644,8904086.74,emerging
Costa Rica,COS,Central America,2022,5,15773,872.94,0.645,8879042.21,emerging
Costa Rica,COS,Central America,2022,6,15641,1297.66,0.554,11241365.9,emerging
Costa Rica,COS,Central America,2022,7,17248,1583.18,0.747,20393985.0,emerging
Costa Rica,COS,Central America,2022,8,18189,1629.89,0.706,20941783.27,emerging
Costa Rica,COS,Central America,2022,9,11448,888.42,0.781,7946924.23,emerging
Costa Rica,COS,Central America,2022,10,18645,1132.67,0.733,15479983.0,emerging
Costa Rica,COS,Central America,2022,11,12946,680.49,0.44,3873202.61,emerging
Costa Rica,COS,Central America,2022,12,13608,1274.28,0.62,10759322.54,emerging
Panama,PAN,Central America,2018,1,11163,1222.41,0.695,9478581.94,emerging
Panama,PAN,Central America,2018,2,11320,1123.19,0.553,7027991.89,emerging
Panama,PAN,Central America,2018,3,15373,891.85,0.916,12564019.89,emerging
Panama,PAN,Central America,2018,4,15838,1147.6,0.46,8358309.01,emerging
Panama,PAN,Central America,2018,5,15960,1097.73,0.808,14154775.53,emerging
Panama,PAN,Central America,2018,6,14788,1897.41,0.553,15523791.25,emerging
Panama,PAN,Central America,2018,7,17584,2103.87,0.871,32211470.18,emerging
Panama,PAN,Central America,2018,8,12586,1702.86,0.506,10850095.41,emerging
Panama,PAN,Central America,2018,9,20143,961.63,0.844,16357915.89,emerging
Panama,PAN,Central America,2018,10,13179,1431.4,0.602,11365510.36,emerging
Panama,PAN,Central America,2018,11,13847,1222.48,0.929,15722985.93,emerging
Panama,PAN,Central America,2018,12,13171,1984.32,0.815,21301330.31,emerging
Panama,PAN,Central America,2019,1,10308,1293.47,0.873,11638129.66,emerging
Panama,PAN,Central America,2019,2,10793,1211.92,0.696,9097612.13,emerging
Panama,PAN,Central America,2019,3,12848,1374.03,0.596,10514247.64,emerging
Panama,PAN,Central America,2019,4,15322,1113.77,0.514,8779114.96,emerging
Panama,PAN,Central America,2019,5,18728,1382.1,0.74,19143551.37,emerging
Panama,PAN,Central America,2019,6,16856,1659.71,0.895,25052094.76,emerging
Panama,PAN,Central America,2019,7,21010,1579.06,0.748,24822767.94,emerging
Panama,PAN,Central America,2019,8,23771,1607.5,0.72,27525966.3,emerging
Panama,PAN,Central America,2019,9,18649,845.82,0.747,11782944.68,emerging
Panama,PAN,Central America,2019,10,14250,1048.19,0.745,11130052.08,emerging
Panama,PAN,Central America,2019,11,10503,1291.84,0.402,5460697.16,emerging
Panama,PAN,Central America,2019,12,12440,1862.38,0.607,14071336.3,emerging
Panama,PAN,Central America,2020,1,3306,1338.5,0.914,4045226.11,emerging
Panama,PAN,Central America,2020,2,3938,1153.46,0.886,4025814.77,emerging
Panama,PAN,Central America,2020,3,5254,1085.54,0.556,3170516.79,emerging
Panama,PAN,Central America,2020,4,3814,1127.46,0.92,3958097.11,emerging
Panama,PAN,Central America,2020,5,4859,1240.54,0.462,2785348.99,emerging
Panama,PAN,Central America,2020,6,4134,1838.68,0.923,7017320.36,emerging
Panama,PAN,Central America,2020,7,4321,2086.49,0.466,4202758.94,emerging
Panama,PAN,Central America,2020,8,5047,1920.37,0.873,8460532.33,emerging
Panama,PAN,Central America,2020,9,3530,953.96,0.521,1753876.06,emerging
Panama,PAN,Central America,2020,10,4648,932.22,0.42,1821261.97,emerging
Panama,PAN,Central America,2020,11,3093,1157.14,0.864,3093080.49,emerging
Panama,PAN,Central America,2020,12,4084,1883.13,0.911,7010040.92,emerging
Panama,PAN,Central America,2021,1,8718,998.74,0.911,7928845.56,emerging
Panama,PAN,Central America,2021,2,7307,1088.46,0.774,6156959.13,emerging
Panama,PAN,Central America,2021,3,8239,908.51,0.795,5954027.6,emerging
Panama,PAN,Central America,2021,4,10358,1277.28,0.526,6959207.99,emerging
Panama,PAN,Central America,2021,5,12110,855.15,0.583,6037250.41,emerging
Panama,PAN,Central America,2021,6,7469,1588.88,0.623,7395131.82,emerging
Panama,PAN,Central America,2021,7,10534,2089.53,0.944,20785753.23,emerging
Panama,PAN,Central America,2021,8,12728,1841.21,0.798,18701926.98,emerging
Panama,PAN,Central America,2021,9,10178,1119.18,0.832,9474853.51,emerging
Panama,PAN,Central America,2021,10,8471,1071.9,0.689,6259328.34,emerging
Panama,PAN,Central America,2021,11,7472,1276.13,0.596,5684955.86,emerging
Panama,PAN,Central America,2021,12,7285,2105.92,0.937,14374693.81,emerging
Panama,PAN,Central America,2022,1,8374,955.7,0.772,6179749.46,emerging
Panama,PAN,Central America,2022,2,9546,854.53,0.591,4819165.8,emerging
Panama,PAN,Central America,2022,3,11640,1318.46,0.672,10314248.67,emerging
Panama,PAN,Central America,2022,4,13661,1187.7,0.521,8447961.52,emerging
Panama,PAN,Central America,2022,5,14682,846.63,0.662,8223288.32,emerging
Panama,PAN,Central America,2022,6,11306,1964.92,0.751,16685868.22,emerging
Panama,PAN,Central America,2022,7,14040,1564.36,0.539,11832936.81,emerging
Panama,PAN,Central America,2022,8,13780,1603.42,0.459,10146181.56,emerging
Panama,PAN,Central America,2022,9,11691,1293.46,0.577,8723072.25,emerging
Panama,PAN,Central America,2022,10,13324,1407.43,0.92,17253268.65,emerging
Panama,PAN,Central America,2022,11,8909,1325.99,0.727,8584339.21,emerging
Panama,PAN,Central America,2022,12,11732,1846.57,0.826,17896335.59,emerging
Guatemala,GUA,Central America,2018,1,51013,379.49,0.838,16214821.27,emerging
Guatemala,GUA,Central America,2018,2,31866,304.45,0.634,6149277.33,emerging
Guatemala,GUA,Central America,2018,3,74380,380.15,0.749,21189430.98,emerging
Guatemala,GUA,Central America,2018,4,61850,306.51,0.615,11652741.3,emerging
Guatemala,GUA,Central America,2018,5,64722,474.4,0.492,15118943.55,emerging
Guatemala,GUA,Central America,2018,6,63585,539.02,0.533,18278303.46,emerging
Guatemala,GUA,Central America,2018,7,61031,628.13,0.527,20195498.16,emerging
Guatemala,GUA,Central America,2018,8,65636,675.57,0.929,41213289.66,emerging
Guatemala,GUA,Central America,2018,9,51200,417.6,0.542,11587330.83,emerging
Guatemala,GUA,Central America,2018,10,61568,414.58,0.841,21478487.55,emerging
Guatemala,GUA,Central America,2018,11,41458,399.7,0.69,11436955.47,emerging
Guatemala,GUA,Central America,2018,12,49539,572.49,0.719,20391502.83,emerging
Guatemala,GUA,Central America,2019,1,56299,286.63,0.712,11490857.54,emerging
Guatemala,GUA,Central America,2019,2,47655,308.07,0.743,10903955.92,emerging
Guatemala,GUA,Central America,2019,3,46512,368.18,0.598,10240502.15,emerging
Guatemala,GUA,Central America,2019,4,74329,374.02,0.93,25852051.43,emerging
Guatemala,GUA,Central America,2019,5,75553,428.06,0.542,17512993.88,emerging
Guatemala,GUA,Central America,2019,6,55449,630.51,0.581,20312908.1,emerging
Guatemala,GUA,Central America,2019,7,80136,575.86,0.403,18611014.03,emerging
Guatemala,GUA,Central America,2019,8,62294,660.01,0.824,33879847.37,emerging
Guatemala,GUA,Central America,2019,9,57980,361.61,0.421,8817302.65,emerging
Guatemala,GUA,Central America,2019,10,51699,435.84,0.733,16523052.56,emerging
Guatemala,GUA,Central America,2019,11,45206,331.49,0.849,12726102.75,emerging
Guatemala,GUA,Central America,2019,12,48453,586.83,0.765,21763114.05,emerging
Guatemala,GUA,Central America,2020,1,12903,372.17,0.895,4297250.85,emerging
Guatemala,GUA,Central America,2020,2,10958,428.28,0.487,2287833.85,emerging
Guatemala,GUA,Central America,2020,3,17380,454.12,0.652,5144816.64,emerging
Guatemala,GUA,Central America,2020,4,16733,444.08,0.475,3528236.83,emerging
Guatemala,GUA,Central America,2020,5,19945,463.97,0.717,6635042.96,emerging
Guatemala,GUA,Central America,2020,6,16195,545.39,0.543,4794798.06,emerging
Guatemala,GUA,Central America,2020,7,20154,622.68,0.438,5500903.74,emerging
Guatemala,GUA,Central America,2020,8,19671,607.98,0.661,7901157.32,emerging
Guatemala,GUA,Central America,2020,9,21916,421.12,0.426,3931471.43,emerging
Guatemala,GUA,Central America,2020,10,13592,292.17,0.633,2512707.69,emerging
Guatemala,GUA,Central America,2020,11,12420,429.22,0.523,2786177.58,emerging
Guatemala,GUA,Central America,2020,12,18504,617.28,0.645,7372768.23,emerging
Guatemala,GUA,Central America,2021,1,27146,422.63,0.734,8421217.08,emerging
Guatemala,GUA,Central America,2021,2,30939,364.45,0.845,9524562.41,emerging
Guatemala,GUA,Central America,2021,3,31582,447.67,0.543,7673004.32,emerging
Guatemala,GUA,Central America,2021,4,37485,415.57,0.517,8053596.58,emerging
Guatemala,GUA,Central America,2021,5,34804,341.05,0.773,9180379.29,emerging
Guatemala,GUA,Central America,2021,6,42750,654.91,0.855,23946246.81,emerging
Guatemala,GUA,Central America,2021,7,42401,533.78,0.455,10303819.7,emerging
Guatemala,GUA,Central America,2021,8,36737,585.56,0.521,11214329.77,emerging
Guatemala,GUA,Central America,2021,9,36911,413.3,0.612,9332357.47,emerging
Guatemala,GUA,Central America,2021,10,35318,427.7,0.804,12148030.18,emerging
Guatemala,GUA,Central America,2021,11,31095,339.05,0.755,7955462.77,emerging
Guatemala,GUA,Central America,2021,12,41260,635.9,0.834,21887956.14,emerging
Guatemala,GUA,Central America,2022,1,45210,398.1,0.431,7750245.85,emerging
Guatemala,GUA,Central America,2022,2,35747,440.0,0.878,13807458.92,emerging
Guatemala,GUA,Central America,2022,3,53227,317.21,0.417,7041793.47,emerging
Guatemala,GUA,Central America,2022,4,57836,359.27,0.545,11326902.67,emerging
Guatemala,GUA,Central America,2022,5,59068,364.18,0.758,16314571.15,emerging
Guatemala,GUA,Central America,2022,6,56248,659.45,0.869,32247628.33,emerging
Guatemala,GUA,Central America,2022,7,42787,585.89,0.64,16049961.82,emerging
Guatemala,GUA,Central America,2022,8,79259,593.07,0.61,28655012.77,emerging
Guatemala,GUA,Central America,2022,9,55856,363.84,0.923,18761317.27,emerging
Guatemala,GUA,Central America,2022,10,58394,382.68,0.755,16863121.36,emerging
Guatemala,GUA,Central America,2022,11,33411,419.15,0.789,11048673.99,emerging
Guatemala,GUA,Central America,2022,12,37080,563.94,0.903,18888553.13,emerging
Jamaica,JAM,Caribbean,2018,1,12229,451.82,0.418,2311382.39,emerging
Jamaica,JAM,Caribbean,2018,2,11941,487.8,0.613,3571563.7,emerging
Jamaica,JAM,Caribbean,2018,3,12553,354.17,0.629,2796851.14,emerging
Jamaica,JAM,Caribbean,2018,4,15285,432.62,0.896,5925290.2,emerging
Jamaica,JAM,Caribbean,2018,5,18629,515.71,0.892,8574101.27,emerging
Jamaica,JAM,Caribbean,2018,6,11913,777.48,0.476,4405107.4,emerging
Jamaica,JAM,Caribbean,2018,7,11237,584.19,0.592,3885548.59,emerging
Jamaica,JAM,Caribbean,2018,8,13984,660.51,0.414,3824438.53,emerging
Jamaica,JAM,Caribbean,2018,9,16945,405.27,0.816,5605534.05,emerging
Jamaica,JAM,Caribbean,2018,10,13603,355.86,0.541,2617699.31,emerging
Jamaica,JAM,Caribbean,2018,11,10996,439.82,0.659,3188708.36,emerging
Jamaica,JAM,Caribbean,2018,12,11303,654.35,0.604,4467308.52,emerging
Jamaica,JAM,Caribbean,2019,1,14832,359.26,0.85,4528901.88,emerging
Jamaica,JAM,Caribbean,2019,2,12893,309.23,0.946,3772538.0,emerging
Jamaica,JAM,Caribbean,2019,3,13604,458.14,0.623,3882415.96,emerging
Jamaica,JAM,Caribbean,2019,4,14396,363.72,0.42,2196630.13,emerging
Jamaica,JAM,Caribbean,2019,5,18905,505.23,0.489,4674017.42,emerging
Jamaica,JAM,Caribbean,2019,6,14106,735.05,0.498,5164697.31,emerging
Jamaica,JAM,Caribbean,2019,7,14480,665.01,0.818,7876576.17,emerging
Jamaica,JAM,Caribbean,2019,8,15701,592.85,0.71,6605510.32,emerging
Jamaica,JAM,Caribbean,2019,9,16133,480.96,0.481,3735327.7,emerging
Jamaica,JAM,Caribbean,2019,10,13924,496.66,0.575,3977713.17,emerging
Jamaica,JAM,Caribbean,2019,11,12859,484.96,0.449,2800786.78,emerging
Jamaica,JAM,Caribbean,2019,12,13897,640.45,0.401,3567257.97,emerging
Jamaica,JAM,Caribbean,2020,1,3298,327.69,0.451,487202.16,emerging
Jamaica,JAM,Caribbean,2020,2,3807,355.07,0.914,1235663.94,emerging
Jamaica,JAM,Caribbean,2020,3,3614,409.22,0.639,944821.24,emerging
Jamaica,JAM,Caribbean,2020,4,4295,407.5,0.471,823873.44,emerging
Jamaica,JAM,Caribbean,2020,5,5936,402.25,0.441,1052282.17,emerging
Jamaica,JAM,Caribbean,2020,6,4175,714.42,0.552,1645162.33,emerging
Jamaica,JAM,Caribbean,2020,7,5567,719.35,0.758,3034255.08,emerging
Jamaica,JAM,Caribbean,2020,8,4952,783.62,0.551,2137391.23,emerging
Jamaica,JAM,Caribbean,2020,9,4011,375.99,0.81,1221025.63,emerging
Jamaica,JAM,Caribbean,2020,10,3075,318.1,0.846,827486.64,emerging
Jamaica,JAM,Caribbean,2020,11,3462,383.06,0.734,973581.21,emerging
Jamaica,JAM,Caribbean,2020,12,3560,616.26,0.502,1101310.13,emerging
Jamaica,JAM,Caribbean,2021,1,10508,437.73,0.615,2826765.06,emerging
Jamaica,JAM,Caribbean,2021,2,8321,423.53,0.533,1878115.82,emerging
Jamaica,JAM,Caribbean,2021,3,6243,395.31,0.873,2154347.85,emerging
Jamaica,JAM,Caribbean,2021,4,6073,356.08,0.891,1927245.97,emerging
Jamaica,JAM,Caribbean,2021,5,6319,446.52,0.517,1459955.61,emerging
Jamaica,JAM,Caribbean,2021,6,9936,656.28,0.456,2972990.43,emerging
Jamaica,JAM,Caribbean,2021,7,9161,722.27,0.774,5122325.66,emerging
Jamaica,JAM,Caribbean,2021,8,9585,682.05,0.686,4482790.33,emerging
Jamaica,JAM,Caribbean,2021,9,8681,459.86,0.76,3034661.91,emerging
Jamaica,JAM,Caribbean,2021,10,9124,342.28,0.516,1610967.81,emerging
Jamaica,JAM,Caribbean,2021,11,6974,510.33,0.818,2910086.5,emerging
Jamaica,JAM,Caribbean,2021,12,7097,627.45,0.461,2052804.06,emerging
Jamaica,JAM,Caribbean,2022,1,11166,504.39,0.461,2595681.42,emerging
